	sum 	deprecate?	flag for upgrade?	comments
VEP/95.0-foss-2018b-Perl-5.28.0	406			
VSEARCH/2.4.3-foss-2016b	0			
VarScan/2.4.2-Java-1.8.0_121	8			
ViennaRNA/2.4.11-foss-2018b-Python-3.7.0	22			
X11/20160819-foss-2016b	12969			
X11/20170314-GCCcore-6.3.0	0			
X11/20180604-GCCcore-7.3.0	9831			
XHMM/1.0-foss-2016b	2			
XML-LibXML/2.0132-GCCcore-7.3.0-Perl-5.28.0	412			
XML-Parser/2.44_01-GCCcore-7.3.0-Perl-5.28.0	0			
XZ/5.2.2-foss-2016a	172			
XZ/5.2.2-foss-2016a-gettext-0.19.7	13			
XZ/5.2.2-foss-2016b	34353			
XZ/5.2.3-GCCcore-6.3.0	0			
XZ/5.2.3-GCCcore-6.4.0	5			
XZ/5.2.4-GCCcore-7.3.0	20186			
ZeroMQ/4.1.4-foss-2016b	12963			
ZeroMQ/4.2.0-foss-2016b	21139			
akt/0.3.2-foss-2016b	0			
annovar/2017Mar08-foss-2016a-Perl-5.22.1	8			
annovar/2019Oct24-foss-2018b-Perl-5.28.0	61			
ant/1.10.1-Java-1.8.0_121	319			
ant/1.10.5-Java-1.8	16			
ant/1.9.7-Java-1.8.0_92	0			
arpack-ng/3.4.0-foss-2016b	0			
attr/2.4.48-GCCcore-7.3.0	1			
awscli/1.14.38-foss-2016b-Python-2.7.13	11			
bcl2fastq2/2-20-0-foss-2016a	483			
bcl2fastq2/2.19-foss-2016a	48			
bgc/1.03-foss-2016b	0			
binutils/2.25	0			
binutils/2.25-GCCcore-4.9.3	6239			
binutils/2.26	0			
binutils/2.26-GCCcore-5.4.0	126818			
binutils/2.27	0			
binutils/2.27-GCCcore-6.3.0	196			
binutils/2.28	2			
binutils/2.28-GCCcore-6.4.0	91			
binutils/2.30	3			
binutils/2.30-GCCcore-7.3.0	26003			
breseq/0.32.1-foss-2016b	0			
breseq/0.34.1-foss-2016b	0			
bzip2/1.0.6-GCCcore-5.4.0	12959			
bzip2/1.0.6-GCCcore-6.3.0	0			
bzip2/1.0.6-GCCcore-7.3.0	20438			
bzip2/1.0.6-foss-2016a	1800			
bzip2/1.0.6-foss-2016b	34046			
cURL/7.49.1-foss-2016a	172			
cURL/7.49.1-foss-2016b	23175			
cURL/7.52.1-foss-2016a	1791			
cURL/7.52.1-foss-2016b	1032			
cURL/7.58.0-GCCcore-6.4.0	1			
cURL/7.60.0-GCCcore-7.3.0	20148			
cairo/1.14.12-GCCcore-7.3.0	9762			
cairo/1.14.6-foss-2016b	12972			
canu/1.6-foss-2016b	1			
cellranger-atac/1.0.0	4			
