	sum 	toolchain	unused	deprecate?	flag for upgrade, then deprecate?	flag for upgrade only	hide only	comments
SLEPc/3.9.2-foss-2018b	1408	2018b						
SQLite/3.13.0-foss-2016b	97	2016b		Y				
SQLite/3.21.0-GCCcore-6.4.0	175342	2018a						
SQLite/3.24.0-GCCcore-7.3.0	8983	2018b						
SQLite/3.9.2-foss-2016b	320	2016b		Y				
STAR/2.6.0c-foss-2018a	22	2018a						
SUNDIALS/3.2.1-foss-2018b	1405	2018b						
SWIG/3.0.12-foss-2018a-Python-2.7.14	1	2018a	Y	Y				
SWIG/3.0.12-foss-2018a-Python-3.6.4	0	2018a	Y	Y				
SWIG/3.0.12-foss-2018b-Python-3.7.0	2	2018b	Y	Y				
ScaLAPACK/2.0.2-gompi-2016b-OpenBLAS-0.2.18-LAPACK-3.6.1	3130	2016b		Y				
ScaLAPACK/2.0.2-gompi-2018a-OpenBLAS-0.2.20	247137	2018a						
ScaLAPACK/2.0.2-gompi-2018b-OpenBLAS-0.3.1	16219	2018b						
ScaLAPACK/2.0.2-gompic-2018b-OpenBLAS-0.3.1	10	2018b						
Seq-Gen/1.3.4-GCCcore-7.3.0	252	2018b						
Serf/1.3.9-iomkl-2018a	79	2018a						
Siesta/4.0.1-iomkl-2018a	29	2018a						
SimVascular/2.16.0705-intel-2018b	3	2018b	Y	Y				
SimVascular/2.19.0719-intel-2018b	0	2018b	Y	Y				
Spark/2.4.5	1	system	Y	Y				
Stata/15	2775	system						
StdEnv	181314	system						
